"epoch","complex_kitti - _step","complex_kitti - _step__MIN","complex_kitti - _step__MAX","complex_kitti - train/mIOU_epoch","complex_kitti - train/mIOU_epoch__MIN","complex_kitti - train/mIOU_epoch__MAX","streetview-low_kitti - _step","streetview-low_kitti - _step__MIN","streetview-low_kitti - _step__MAX","streetview-low_kitti - train/mIOU_epoch","streetview-low_kitti - train/mIOU_epoch__MIN","streetview-low_kitti - train/mIOU_epoch__MAX","streetview-high_kitti - _step","streetview-high_kitti - _step__MIN","streetview-high_kitti - _step__MAX","streetview-high_kitti - train/mIOU_epoch","streetview-high_kitti - train/mIOU_epoch__MIN","streetview-high_kitti - train/mIOU_epoch__MAX","KITTI - _step","KITTI - _step__MIN","KITTI - _step__MAX","KITTI - train/mIOU_epoch","KITTI - train/mIOU_epoch__MIN","KITTI - train/mIOU_epoch__MAX","cameraview_low_kitti - _step","cameraview_low_kitti - _step__MIN","cameraview_low_kitti - _step__MAX","cameraview_low_kitti - train/mIOU_epoch","cameraview_low_kitti - train/mIOU_epoch__MIN","cameraview_low_kitti - train/mIOU_epoch__MAX","cameraview_high_kitti - _step","cameraview_high_kitti - _step__MIN","cameraview_high_kitti - _step__MAX","cameraview_high_kitti - train/mIOU_epoch","cameraview_high_kitti - train/mIOU_epoch__MIN","cameraview_high_kitti - train/mIOU_epoch__MAX","citiscape_kitti - _step","citiscape_kitti - _step__MIN","citiscape_kitti - _step__MAX","citiscape_kitti - train/mIOU_epoch","citiscape_kitti - train/mIOU_epoch__MIN","citiscape_kitti - train/mIOU_epoch__MAX"
"32","421","421","421","0.2979503571987152","0.2979503571987152","0.2979503571987152","421","421","421","0.3001101613044739","0.3001101613044739","0.3001101613044739","421","421","421","0.29142075777053833","0.29142075777053833","0.29142075777053833","421","421","421","0.26940783858299255","0.26940783858299255","0.26940783858299255","421","421","421","0.29727306962013245","0.29727306962013245","0.29727306962013245","421","421","421","0.29172784090042114","0.29172784090042114","0.29172784090042114","421","421","421","0.35513031482696533","0.35513031482696533","0.35513031482696533"
"33","434","434","434","0.29872292280197144","0.29872292280197144","0.29872292280197144","434","434","434","0.30238503217697144","0.30238503217697144","0.30238503217697144","434","434","434","0.29875659942626953","0.29875659942626953","0.29875659942626953","434","434","434","0.2734690010547638","0.2734690010547638","0.2734690010547638","434","434","434","0.29406654834747314","0.29406654834747314","0.29406654834747314","434","434","434","0.29575297236442566","0.29575297236442566","0.29575297236442566","434","434","434","0.3610984683036804","0.3610984683036804","0.3610984683036804"
"34","447","447","447","0.29862335324287415","0.29862335324287415","0.29862335324287415","447","447","447","0.3010220229625702","0.3010220229625702","0.3010220229625702","447","447","447","0.2967391312122345","0.2967391312122345","0.2967391312122345","447","447","447","0.2684575319290161","0.2684575319290161","0.2684575319290161","447","447","447","0.29609087109565735","0.29609087109565735","0.29609087109565735","447","447","447","0.2954128682613373","0.2954128682613373","0.2954128682613373","447","447","447","0.35583633184432983","0.35583633184432983","0.35583633184432983"
"35","459","459","459","0.30138567090034485","0.30138567090034485","0.30138567090034485","459","459","459","0.3031528890132904","0.3031528890132904","0.3031528890132904","459","459","459","0.293888658285141","0.293888658285141","0.293888658285141","459","459","459","0.2675565481185913","0.2675565481185913","0.2675565481185913","459","459","459","0.29783719778060913","0.29783719778060913","0.29783719778060913","459","459","459","0.2950003147125244","0.2950003147125244","0.2950003147125244","459","459","459","0.3576788008213043","0.3576788008213043","0.3576788008213043"
"36","472","472","472","0.2963091731071472","0.2963091731071472","0.2963091731071472","472","472","472","0.29848024249076843","0.29848024249076843","0.29848024249076843","472","472","472","0.2975176274776459","0.2975176274776459","0.2975176274776459","472","472","472","0.2704851031303406","0.2704851031303406","0.2704851031303406","472","472","472","0.2937721610069275","0.2937721610069275","0.2937721610069275","472","472","472","0.2951447069644928","0.2951447069644928","0.2951447069644928","472","472","472","0.35963213443756104","0.35963213443756104","0.35963213443756104"
"37","485","485","485","0.2947637438774109","0.2947637438774109","0.2947637438774109","485","485","485","0.3002411723136902","0.3002411723136902","0.3002411723136902","485","485","485","0.29193228483200073","0.29193228483200073","0.29193228483200073","485","485","485","0.26714664697647095","0.26714664697647095","0.26714664697647095","485","485","485","0.2843047082424164","0.2843047082424164","0.2843047082424164","485","485","485","0.28871583938598633","0.28871583938598633","0.28871583938598633","485","485","485","0.3609342575073242","0.3609342575073242","0.3609342575073242"
"38","498","498","498","0.2935991585254669","0.2935991585254669","0.2935991585254669","498","498","498","0.29187947511672974","0.29187947511672974","0.29187947511672974","498","498","498","0.2931117117404938","0.2931117117404938","0.2931117117404938","498","498","498","0.262350857257843","0.262350857257843","0.262350857257843","498","498","498","0.2834693193435669","0.2834693193435669","0.2834693193435669","498","498","498","0.2878270745277405","0.2878270745277405","0.2878270745277405","498","498","498","0.3561105728149414","0.3561105728149414","0.3561105728149414"
"39","511","511","511","0.29767128825187683","0.29767128825187683","0.29767128825187683","511","511","511","0.30003637075424194","0.30003637075424194","0.30003637075424194","511","511","511","0.29366061091423035","0.29366061091423035","0.29366061091423035","511","511","511","0.2638005316257477","0.2638005316257477","0.2638005316257477","511","511","511","0.28492265939712524","0.28492265939712524","0.28492265939712524","511","511","511","0.289715051651001","0.289715051651001","0.289715051651001","511","511","511","0.35971397161483765","0.35971397161483765","0.35971397161483765"
"40","523","523","523","0.29992610216140747","0.29992610216140747","0.29992610216140747","523","523","523","0.30202716588974","0.30202716588974","0.30202716588974","523","523","523","0.296175092458725","0.296175092458725","0.296175092458725","523","523","523","0.2673446536064148","0.2673446536064148","0.2673446536064148","523","523","523","0.289324015378952","0.289324015378952","0.289324015378952","523","523","523","0.28485721349716187","0.28485721349716187","0.28485721349716187","523","523","523","0.3553853929042816","0.3553853929042816","0.3553853929042816"
"41","536","536","536","0.3028607964515686","0.3028607964515686","0.3028607964515686","536","536","536","0.30129510164260864","0.30129510164260864","0.30129510164260864","536","536","536","0.2998538315296173","0.2998538315296173","0.2998538315296173","536","536","536","0.2803751230239868","0.2803751230239868","0.2803751230239868","536","536","536","0.29633238911628723","0.29633238911628723","0.29633238911628723","536","536","536","0.28951340913772583","0.28951340913772583","0.28951340913772583","536","536","536","0.3646087944507599","0.3646087944507599","0.3646087944507599"
